object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Label 1,Probability of Label 2,Size in pixels,Radii of the object_0,Radii of the object_1,Total Intensity_0,Total Intensity_1,Total Intensity_2,Total Intensity_3,Center of the object_0,Center of the object_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Bounding Box Minimum_0,Bounding Box Minimum_1,Maximum intensity_0,Maximum intensity_1,Maximum intensity_2,Maximum intensity_3,PrincipalAxes_0,PrincipalAxes_1,PrincipalAxes_2,PrincipalAxes_3,PrincipalAxes_4,PrincipalAxes_5,PrincipalAxes_6,PrincipalAxes_7,PrincipalAxes_8,PrincipalAxes_9,PrincipalAxes_10,PrincipalAxes_11,PrincipalAxes_12,PrincipalAxes_13,PrincipalAxes_14,PrincipalAxes_15,Principal components of the object_0,Principal components of the object_1,Principal components of the object_2,Principal components of the object_3,Mean Intensity_0,Mean Intensity_1,Mean Intensity_2,Mean Intensity_3,Minimum intensity_0,Minimum intensity_1,Minimum intensity_2,Minimum intensity_3,Variance of Intensity_0,Variance of Intensity_1,Variance of Intensity_2,Variance of Intensity_3,Total Intensity in neighborhood_0,Total Intensity in neighborhood_1,Total Intensity in neighborhood_2,Total Intensity in neighborhood_3,Maximum intensity in neighborhood_0,Maximum intensity in neighborhood_1,Maximum intensity in neighborhood_2,Maximum intensity in neighborhood_3,Mean Intensity in neighborhood_0,Mean Intensity in neighborhood_1,Mean Intensity in neighborhood_2,Mean Intensity in neighborhood_3,Minimum intensity in neighborhood_0,Minimum intensity in neighborhood_1,Minimum intensity in neighborhood_2,Minimum intensity in neighborhood_3,Variance of Intensity in neighborhood_0,Variance of Intensity in neighborhood_1,Variance of Intensity in neighborhood_2,Variance of Intensity in neighborhood_3
3359,31,79,0,Label 2,0.31,0.69,301.0,7.11884,3.37376,39789.0,39789.0,39789.0,76755.0,1484.3,1646.04,1492.0,1659.0,1477.0,1633.0,147.0,147.0,147.0,255.0,0.57735,0.707107,0.408248,0.0,0.57735,-0.707107,0.408248,0.0,0.57735,0.0,-0.816497,0.0,0.0,0.0,-0.0,1.0,0.287762,-0.957702,0.957702,0.287762,132.189,132.189,132.189,255.0,112.0,112.0,112.0,255.0,66.1269,66.1269,66.1269,0.0,461784.0,461784.0,461784.0,1.21482e+06,141.0,141.0,141.0,255.0,96.932,96.932,96.932,255.0,60.0,60.0,60.0,255.0,186.033,186.033,186.033,0.0
3360,31,80,0,Label 2,0.45,0.55,342.0,5.88401,4.66858,44121.0,44121.0,44121.0,87210.0,955.883,1650.74,965.0,1661.0,947.0,1640.0,146.0,146.0,146.0,255.0,0.57735,0.707107,0.408248,0.0,0.57735,-0.707107,0.408248,0.0,0.57735,0.0,-0.816497,0.0,0.0,0.0,-0.0,1.0,-0.453272,-0.891372,0.891372,-0.453272,129.009,129.009,129.009,255.0,110.0,110.0,110.0,255.0,68.19,68.19,68.19,0.0,465661.0,465661.0,465661.0,1.20972e+06,156.0,156.0,156.0,255.0,98.1579,98.1579,98.1579,255.0,75.0,75.0,75.0,255.0,145.543,145.543,145.543,0.0
3361,31,81,0,Label 1,0.54,0.46,203.0,4.55444,3.5565,26023.0,26023.0,26023.0,51765.0,413.473,1648.07,422.0,1655.0,405.0,1641.0,134.0,134.0,134.0,255.0,0.57735,-0.558462,0.0,-0.59564,0.57735,0.79507,0.0,-0.185823,0.57735,-0.236608,0.0,0.781462,0.0,-0.0,1.0,0.0,0.993832,-0.110897,-0.110897,-0.993832,128.192,128.192,128.192,255.0,118.0,118.0,118.0,255.0,13.3276,13.3276,13.3276,0.0,466166.0,466166.0,466166.0,1.09242e+06,139.0,139.0,139.0,255.0,108.816,108.816,108.816,255.0,91.0,91.0,91.0,255.0,76.896,76.896,76.896,0.0
3362,31,82,0,Label 1,0.75,0.25,1064.0,21.8647,4.79981,121879.0,121879.0,121879.0,271320.0,1545.04,1756.47,1568.0,1791.0,1524.0,1723.0,125.0,125.0,125.0,255.0,0.57735,0.707107,0.408248,0.0,0.57735,-0.707107,0.408248,0.0,0.57735,0.0,-0.816497,0.0,0.0,0.0,-0.0,1.0,0.475576,-0.879675,0.879675,0.475576,114.548,114.548,114.548,255.0,103.0,103.0,103.0,255.0,17.1913,17.1913,17.1913,0.0,750736.0,750736.0,750736.0,2.0604e+06,125.0,125.0,125.0,255.0,92.9129,92.9129,92.9129,255.0,76.0,76.0,76.0,255.0,69.9753,69.9753,69.9753,0.0
3363,31,83,0,Label 2,0.38,0.62,198.0,4.12782,3.81414,25330.0,25330.0,25330.0,50490.0,1905.16,1772.68,1912.0,1780.0,1898.0,1765.0,138.0,138.0,138.0,255.0,0.57735,0.707107,0.408248,0.0,0.57735,-0.707107,0.408248,0.0,0.57735,0.0,-0.816497,0.0,0.0,0.0,-0.0,1.0,0.366866,-0.930274,0.930274,0.366866,127.929,127.929,127.929,255.0,113.0,113.0,113.0,255.0,29.5405,29.5405,29.5405,0.0,344854.0,344854.0,344854.0,1.07763e+06,133.0,133.0,133.0,255.0,81.6029,81.6029,81.6029,255.0,70.0,70.0,70.0,255.0,84.8466,84.8466,84.8466,0.0
3364,31,84,0,Label 1,0.71,0.29,577.0,10.8816,4.67482,69850.0,69850.0,69850.0,147135.0,1599.5,1784.44,1620.0,1795.0,1581.0,1775.0,135.0,135.0,135.0,255.0,0.57735,0.707107,0.0,0.408248,0.57735,-0.707107,0.0,0.408248,0.57735,0.0,0.0,-0.816497,0.0,0.0,1.0,-0.0,0.994995,-0.099928,-0.099928,-0.994995,121.057,121.057,121.057,255.0,108.0,108.0,108.0,255.0,26.7957,26.7957,26.7957,0.0,547812.0,547812.0,547812.0,1.46906e+06,126.0,126.0,126.0,255.0,95.0897,95.0897,95.0897,255.0,79.0,79.0,79.0,255.0,70.5399,70.5399,70.5399,0.0
3365,31,85,0,Label 1,0.7,0.3,244.0,5.10922,4.01904,26822.0,26822.0,26822.0,62220.0,1233.67,1804.64,1244.0,1813.0,1224.0,1798.0,117.0,117.0,117.0,255.0,0.57735,0.0,-0.809511,-0.106574,0.57735,0.0,0.497052,-0.64777,0.57735,0.0,0.31246,0.754344,0.0,1.0,0.0,0.0,0.996021,-0.089124,-0.089124,-0.996021,109.926,109.926,109.926,255.0,102.0,102.0,102.0,255.0,15.3142,15.3142,15.3142,0.0,425301.0,425301.0,425301.0,1.14674e+06,174.0,174.0,174.0,255.0,94.5744,94.5744,94.5744,255.0,76.0,76.0,76.0,255.0,91.0752,91.0752,91.0752,0.0
3366,31,86,0,Label 1,0.87,0.13,686.0,10.6596,5.65444,77543.0,77543.0,77543.0,174930.0,1374.21,1848.88,1394.0,1865.0,1359.0,1832.0,119.0,119.0,119.0,255.0,0.57735,0.0,-0.719025,-0.386872,0.57735,0.0,0.0244713,0.81613,0.57735,0.0,0.694553,-0.429258,0.0,1.0,0.0,0.0,0.794739,0.606951,0.606951,-0.794739,113.036,113.036,113.036,255.0,105.0,105.0,105.0,255.0,8.14882,8.14882,8.14882,0.0,585644.0,585644.0,585644.0,1.53765e+06,130.0,130.0,130.0,255.0,97.1217,97.1217,97.1217,255.0,88.0,88.0,88.0,255.0,48.0804,48.0804,48.0804,0.0
3367,31,87,0,Label 2,0.41,0.59,235.0,4.63872,4.03289,27600.0,27600.0,27600.0,59925.0,1892.98,1846.17,1901.0,1855.0,1885.0,1838.0,121.0,121.0,121.0,255.0,0.57735,0.707107,0.0,0.408248,0.57735,-0.707107,0.0,0.408248,0.57735,0.0,0.0,-0.816497,0.0,0.0,1.0,-0.0,-0.610946,-0.791672,0.791672,-0.610946,117.447,117.447,117.447,255.0,109.0,109.0,109.0,255.0,5.27696,5.27696,5.27696,0.0,356158.0,356158.0,356158.0,1.11588e+06,118.0,118.0,118.0,255.0,81.3889,81.3889,81.3889,255.0,36.0,36.0,36.0,255.0,163.598,163.598,163.598,0.0
3368,31,88,0,Label 1,0.76,0.24,414.0,7.3783,4.81476,46689.0,46689.0,46689.0,105570.0,1334.9,1852.57,1346.0,1867.0,1323.0,1840.0,118.0,118.0,118.0,255.0,0.57735,0.0,-0.809511,-0.106574,0.57735,0.0,0.497052,-0.64777,0.57735,0.0,0.31246,0.754344,0.0,1.0,0.0,0.0,0.467019,-0.884247,0.884247,0.467019,112.775,112.775,112.775,255.0,105.0,105.0,105.0,255.0,8.95195,8.95195,8.95195,0.0,512634.0,512634.0,512634.0,1.3107e+06,255.0,255.0,255.0,255.0,99.7342,99.7342,99.7342,255.0,80.0,80.0,80.0,255.0,580.97,580.97,580.97,0.0
